T,gyro_1f_ay
176.889916,-12
176.989916,-11
177.089912,-12
177.189934,-12
177.289894,-12
177.389906,-12
177.489923,-12
177.589923,-11
177.689901,-11
177.789927,-10
177.889916,-10
177.989916,-9
178.093434,-9
178.189894,-8
178.289894,-8
178.389901,-7
178.489892,-7
178.589892,-7
178.68991,-7
178.789896,-6
178.889885,-7
178.989912,-7
179.08992,-8
179.189903,-8
179.289916,-8
179.389896,-9
179.489914,-9
179.589892,-9
179.689909,-9
179.789896,-9
179.889898,-9
179.993434,-9
180.089919,-9
180.18989,-10
180.289902,-10
180.389909,-10
180.489874,-10
180.589874,-11
180.689905,-11
180.789879,-12
180.889907,-11
180.989893,-12
181.089915,-12
181.189899,-11
181.289897,-12
181.389892,-11
181.489909,-10
181.589909,-10
181.689914,-9
181.789887,-8
181.889888,-8
181.989889,-7
182.089911,-7
182.189894,-7
182.289919,-6
182.389887,-7
182.489892,-7
182.589878,-7
182.689896,-7
182.789923,-8
182.889924,-8
182.989898,-8
183.08988,-8
183.289888,-9
183.389896,-9
183.4899,-9
183.5899,-9
183.689892,-9
183.789905,-10
183.889919,-10
183.989906,-11
184.093451,-11
184.189898,-11
184.289911,-11
184.389866,-12
184.489883,-12
184.589883,-12
184.689901,-11
184.789874,-11
184.889862,-11
184.989889,-10
185.089884,-10
185.189881,-9
185.289893,-8
185.389874,-7
185.489865,-7
185.589879,-6
185.689856,-6
185.789869,-7
185.889884,-6
185.993421,-7
186.089906,-7
186.189876,-7
186.289902,-8
186.389883,-8
186.489887,-8
186.589874,-8
186.689891,-9
186.789905,-9
186.889893,-9
186.989881,-9
187.089877,-10
187.189887,-10
187.289872,-11
187.389867,-11
187.489885,-11
187.589898,-11
187.689889,-12
187.789889,-12
187.893427,-12
187.98989,-12
188.089899,-11
188.18987,-11
188.289855,-10
188.389863,-10
188.489854,-8
188.589854,-7
188.689871,-7
188.789845,-6
188.889873,-6
188.98986,-6
189.089868,-6
189.189878,-6
189.289903,-7
189.389885,-6
189.489875,-7
189.589876,-8
189.68988,-8
189.793403,-9
189.889881,-9
189.989895,-9
190.089864,-9
190.189874,-9
190.389867,-10
190.489845,-10
190.589898,-11
190.689863,-11
190.789875,-12
190.889837,-11
190.989864,-12
191.08985,-12
191.189834,-11
191.289833,-11
191.38984,-10
191.489858,-10
191.589845,-9
191.693385,-7
191.789862,-7
191.889877,-6
191.989837,-7
192.089859,-6
192.189842,-6
192.289855,-6
192.389862,-6
192.48984,-7
192.589867,-7
192.689857,-8
192.789844,-8
192.889872,-8
192.98986,-8
193.089856,-9
193.189867,-9
193.289852,-10
