T,gyro_1f_roll[deg]
120.095816,356.7
120.195373,358.3
120.295411,0.0
120.395806,1.9
120.695797,8.7
120.795784,11.4
120.895794,14.3
120.995789,17.3
121.196369,23.7
121.295781,27.0
122.095808,55.9
122.495788,70.7
122.595749,74.3
122.695767,77.9
122.795806,81.5
122.895755,85.3
122.995755,89.2
123.095789,93.4
123.19576,98.0
123.295772,102.8
123.396583,107.9
123.495784,113.0
123.595758,118.2
123.795762,128.1
123.89575,132.8
123.995764,137.3
124.095772,141.6
124.195782,145.6
124.295755,149.2
124.395762,152.5
124.49574,155.4
124.59574,157.7
124.695771,159.5
124.795797,160.9
124.895786,161.7
124.995785,162.1
125.09582,162.0
125.195817,161.4
125.296659,160.5
125.395797,159.3
125.495762,157.9
125.595824,156.2
125.695766,154.4
125.795806,152.5
125.895781,150.4
125.995834,148.3
126.195826,144.0
126.295812,142.0
126.59581,138.2
126.795789,137.9
126.89579,138.5
126.995803,139.6
127.095798,141.2
127.195818,143.3
127.295781,145.9
127.395789,149.0
127.495842,152.5
127.595806,156.4
127.795798,165.7
127.895785,171.0
127.995759,176.6
128.195751,189.0
128.29579,195.7
128.495775,209.4
128.595762,216.2
128.795753,229.7
128.895807,236.3
128.995794,242.8
129.095865,249.2
129.395815,267.3
129.495797,272.8
129.595784,277.9
129.695815,282.7
129.795801,287.2
129.895803,291.3
129.99579,295.0
130.095798,298.3
130.195782,301.3
130.295807,303.8
130.395775,306.0
130.495766,307.8
130.595793,309.2
130.695784,310.2
130.795784,310.9
130.895812,311.3
130.996602,311.4
131.09582,311.3
131.195791,311.0
131.295812,310.6
131.39581,310.3
131.495749,310.0
131.695792,309.7
131.795793,309.9
131.895808,310.3
131.995754,310.9
132.195747,312.9
132.295785,314.0
132.395766,315.2
132.495744,316.4
132.795749,320.1
132.896593,321.3
132.995776,322.5
133.195817,324.9
133.295781,326.2
133.395762,327.5
133.695784,331.5
133.795797,333.0
133.895772,334.5
133.995799,336.1
134.095741,337.8
134.195724,339.5
134.295763,341.3
135.095838,358.3
135.195773,0.7
135.295772,3.2
135.396295,5.7
135.49581,8.3
135.595797,10.9
135.795761,16.3
135.895803,19.0
135.995777,21.7
136.095785,24.5
136.195768,27.4
136.295768,30.2
136.395735,33.0
136.495779,35.9
136.595806,38.8
136.69656,41.7
136.79577,44.6
136.895772,47.5
137.095767,53.2
137.495775,64.6
137.595749,67.4
137.695779,70.1
137.795753,72.9
137.895781,75.5
137.995767,78.2
138.095802,80.8
138.195773,83.4
138.295771,85.9
140.895741,142.2
140.995741,144.4
141.095772,146.6
141.195759,148.9
141.295758,151.2
141.395766,153.5
141.495744,155.9
141.59581,158.4
141.695709,160.9
141.795722,163.4
141.895763,166.1
141.995776,168.7
142.095771,171.5
142.195742,174.3
142.295767,177.2
142.395761,180.2
142.495739,183.2
142.595753,186.4
142.695779,189.6
142.795757,192.9
142.895732,196.3
142.995807,199.8
143.09574,203.3
143.195764,207.0
143.295798,210.7
143.39577,214.6
143.495708,218.5
143.595735,222.6
143.695739,226.7
143.795766,230.9
143.895754,235.2
