T,gyro_1f_ax
129.990083,542
130.090064,539
130.190075,536
130.2901,537
130.390081,536
130.490072,534
130.590072,536
130.690089,532
130.790077,532
130.890091,533
130.993614,529
131.090113,528
131.190097,524
131.290083,515
131.39009,515
131.490068,503
131.690072,477
131.790059,463
131.890074,453
132.190053,410
132.290064,392
132.390085,373
132.49005,353
132.690094,314
132.790055,295
132.893605,279
132.990069,259
133.190075,225
133.29006,206
133.390055,193
133.490059,180
133.69009,154
133.79009,140
133.890078,136
133.990065,123
134.090047,113
134.290056,97
134.39005,89
134.690085,74
135.090082,58
135.290078,56
135.390072,55
135.490103,52
135.690081,53
135.790067,56
135.990069,53
136.090064,54
136.190074,54
136.29006,55
136.390054,56
136.490059,55
136.590072,57
136.693547,59
136.790037,61
136.890078,63
137.190044,65
137.490068,71
137.590068,72
137.690045,73
137.790059,75
137.890074,73
137.990086,74
138.090095,74
138.190079,73
138.290091,72
138.390059,75
139.290073,55
140.793595,25
140.890047,18
140.990034,24
141.090029,18
141.190039,18
141.290051,16
141.390033,15
141.490036,13
141.590076,14
141.690028,13
141.790028,13
141.890042,12
141.990056,10
142.090051,8
142.190034,9
142.290047,9
142.390041,10
142.490019,9
142.590019,7
142.692299,8
142.790023,7
142.890025,3
142.990038,8
143.090046,6
143.19007,8
143.290042,7
143.39005,8
143.490041,11
143.590028,9
143.690032,9
143.790058,12
143.89006,14
143.990033,13
144.090042,15
144.190039,15
144.290037,15
144.390032,15
144.490037,16
144.590036,17
144.690054,19
144.790041,19
144.892292,19
144.990029,21
145.090024,20
145.190035,23
145.29002,23
145.390028,24
145.490045,25
145.590032,26
145.690036,26
145.790037,29
145.890051,28
145.990038,30
146.09002,30
146.190016,32
146.290016,33
146.390023,32
146.49004,32
146.590054,31
146.690032,31
146.793542,32
146.890007,33
146.99002,32
147.090042,32
147.190012,32
147.290024,31
148.990012,22
149.090033,22
149.19003,21
149.290029,21
149.39001,20
149.490027,19
149.590014,18
149.690045,17
149.790032,15
149.890007,14
149.990007,14
150.090002,13
150.190012,12
150.290024,11
150.389992,10
150.490023,8
150.590009,10
150.690001,7
150.790014,8
150.893565,6
150.990029,5
151.090011,4
151.190008,1
151.29002,2
151.390001,0
151.490005,0
151.590018,-1
151.689996,-1
151.789997,-4
151.890024,-2
151.990024,-4
152.089993,-5
152.190029,-6
152.290015,-5
