T,gyro_5f_wz[dps]
87.580934,1.4
87.680671,1.0
87.780729,0.8
87.880672,0.2
87.980938,-0.2
88.080863,-0.6
88.180858,-0.8
88.280936,-0.4
88.380951,0.0
88.480821,0.0
88.58067,-0.1
88.680729,-0.3
88.780668,-0.9
88.880663,-0.7
88.980271,-0.6
89.08093,-0.4
89.180786,-0.5
89.280744,-0.4
89.380925,-0.3
89.480908,-0.7
89.580712,-0.8
89.680649,-1.0
89.780641,-0.8
89.880654,-0.4
89.980668,0.0
90.080675,0.2
90.18079,0.4
90.280691,0.3
90.380969,0.3
90.480931,0.3
90.58084,0.6
90.680645,1.6
90.780721,2.3
90.880641,2.7
90.980651,2.6
91.080701,1.9
91.180967,0.9
91.280656,0.0
91.380951,-0.5
91.480684,-1.3
91.580694,-0.9
91.68094,-0.5
91.780642,0.5
91.880642,1.9
91.980643,2.5
92.080663,3.2
92.180848,3.4
92.280902,2.8
92.380645,2.7
92.480918,2.8
92.580915,3.4
92.680744,2.8
92.780638,2.2
92.880625,1.7
92.980639,1.0
93.080189,-0.1
93.180668,-0.9
93.280936,-0.7
93.380928,0.4
93.480871,0.7
93.580867,0.4
93.680658,0.0
93.780661,-1.0
93.88083,-2.5
93.980626,-3.1
94.080625,-3.4
94.180703,-3.2
94.280943,-2.9
94.380673,-2.9
94.480894,-2.4
94.580855,-1.6
94.680715,-1.0
94.780747,-0.3
94.880613,0.5
94.980618,1.2
95.08063,1.5
95.180709,1.3
95.280673,1.1
95.380719,1.6
95.480638,1.8
95.580693,1.7
95.680861,1.9
95.78063,0.9
95.880609,-0.1
95.980605,-0.3
96.080595,-0.7
96.180633,-1.2
96.280645,-1.2
96.380841,-1.4
96.480677,-0.9
96.580622,-0.7
96.680877,-0.4
96.780747,-0.5
96.880614,-0.2
96.980602,-0.1
97.080609,0.0
97.179996,0.5
97.280861,0.9
98.080592,1.2
98.180657,0.5
98.280654,0.3
98.380612,0.4
98.480657,0.3
98.580735,0.7
98.680604,1.9
