T,gyro_1f_az
151.29002,180
151.390001,181
151.490005,180
151.590018,180
151.689996,181
151.789997,181
151.890024,181
151.990024,180
152.089993,179
152.190029,180
152.290015,178
152.39001,179
152.490014,180
152.590001,179
152.690032,177
152.793528,177
152.890006,180
152.990007,178
153.090002,172
153.189999,176
153.290011,176
153.390019,175
153.490009,177
153.59001,173
153.690001,173
153.789987,173
153.889989,171
153.989976,171
154.089984,171
154.190007,170
154.289993,166
154.389974,169
154.490005,166
154.589979,167
154.693519,165
154.790009,165
154.889998,164
154.989985,165
155.090019,162
155.190003,163
155.289989,162
155.389983,160
155.490001,160
155.590014,159
155.689992,158
155.789979,157
155.889993,157
155.990006,156
156.090002,156
156.189986,156
156.289971,153
156.389992,153
156.593493,153
156.689987,151
156.789974,151
156.889989,150
156.989989,151
157.089984,148
157.189968,149
157.289993,148
157.389974,147
157.489992,148
157.589978,144
157.68997,148
157.789983,146
157.889984,146
157.989998,146
158.089967,147
158.189963,146
158.289975,147
158.38997,146
158.489987,146
158.589987,147
158.690018,147
158.789966,147
158.88998,148
158.98998,148
159.089989,149
159.189985,150
159.289984,150
159.389992,152
159.489956,152
159.589957,153
159.689974,153
159.789974,154
159.889989,154
159.989976,155
160.089957,156
160.189968,157
160.289954,158
160.389963,158
160.489954,160
160.589994,159
160.689959,161
160.789958,162
160.88996,163
160.989973,163
161.089981,164
161.189978,165
161.289964,163
161.490002,165
161.689967,166
161.789967,167
161.889982,167
161.989968,167
162.089977,167
162.189948,167
162.289973,166
162.38998,165
162.489985,166
162.589959,165
162.689949,164
162.78995,164
162.889964,162
162.989964,161
163.089986,161
163.189983,160
163.289955,158
163.389976,158
163.489967,157
163.58998,156
163.689985,156
163.789985,154
163.889959,153
163.989973,153
164.089968,152
164.189965,151
164.289964,151
164.389972,149
164.493499,148
164.589989,148
164.689993,148
164.789954,148
164.889955,148
164.989982,147
165.089964,148
165.18996,147
165.289973,148
165.389967,148
165.489958,148
165.589971,148
165.68995,149
165.789951,151
165.889953,152
165.98994,153
166.089935,153
166.189971,154
166.289957,156
166.389938,157
166.489942,158
166.589929,159
166.689947,161
166.789947,161
166.889962,163
166.989962,164
167.08997,164
167.18994,165
167.289953,166
167.389934,167
167.489938,167
167.589952,167
167.789942,166
167.889957,167
167.98993,167
168.089926,165
168.189936,165
168.289935,164
168.389942,163
168.489947,162
168.589934,162
168.689964,161
168.789965,159
168.889966,159
168.989939,157
169.089935,156
169.189945,154
169.28993,153
169.389938,152
169.489943,151
169.589942,151
169.689933,150
169.78996,148
169.889948,148
169.989948,147
170.08993,147
170.18994,147
170.289939,148
170.389934,147
170.493461,147
170.589938,149
170.689929,149
170.789956,151
170.889944,152
170.989931,153
171.089966,154
171.189949,155
171.289961,156
171.389947,158
171.489981,160
171.589919,161
171.689924,162
171.78991,164
171.889925,165
171.989942,165
172.089915,166
172.189938,167
172.289937,167
172.393442,168
172.489909,168
172.589923,168
172.689967,167
172.789914,167
172.889942,166
172.989929,165
173.089924,163
173.189934,163
173.289937,161
173.389961,160
173.489943,158
173.589935,156
173.689925,155
173.789939,153
173.889927,152
173.989927,150
174.089926,149
174.189936,148
174.293462,148
174.38992,147
174.489912,147
174.589912,146
174.689889,147
174.789916,147
174.889918,148
174.989917,149
175.089943,150
175.189914,151
175.289943,152
175.389928,153
175.489919,155
175.589919,157
175.689927,159
175.789928,160
175.889929,162
175.989916,164
176.089928,165
176.18993,166
176.28993,168
176.389925,168
176.489903,169
176.589919,169
176.689901,169
176.789902,168
176.889916,167
176.989916,167
177.089912,166
177.189934,164
177.289894,163
177.389906,161
177.489923,159
177.589923,157
177.689901,156
177.789927,154
177.889916,152
177.989916,150
178.093434,149
178.189894,148
178.289894,147
178.389901,146
178.489892,146
178.589892,146
178.68991,146
178.789896,148
178.889885,147
178.989912,149
179.08992,151
179.189903,152
179.289916,154
179.389896,155
179.489914,157
179.589892,160
179.689909,161
179.789896,164
179.889898,165
179.993434,166
180.089919,168
180.18989,169
180.289902,169
180.389909,170
180.489874,170
180.589874,169
180.689905,168
180.789879,167
180.889907,166
180.989893,164
181.089915,162
181.189899,160
181.289897,158
181.389892,156
181.489909,154
181.589909,151
181.689914,150
181.789887,148
181.889888,147
181.989889,147
182.089911,146
182.189894,145
182.289919,145
182.389887,146
182.489892,147
182.589878,148
182.689896,149
182.789923,151
182.889924,153
182.989898,156
183.08988,158
183.289888,162
183.389896,164
183.4899,166
183.5899,168
183.689892,169
183.789905,170
183.889919,170
183.989906,170
184.093451,170
184.189898,169
184.289911,168
184.389866,166
184.489883,164
184.589883,162
184.689901,159
184.789874,157
184.889862,154
184.989889,153
185.089884,151
185.189881,149
185.289893,148
185.389874,146
185.489865,146
185.589879,145
185.689856,145
185.789869,145
185.889884,146
185.993421,147
186.089906,150
186.189876,152
186.289902,154
186.389883,156
186.489887,158
186.589874,161
186.689891,164
186.789905,165
186.889893,167
186.989881,169
187.089877,169
187.189887,170
187.289872,170
187.389867,170
187.489885,169
187.589898,168
187.689889,166
187.789889,164
187.893427,162
187.98989,159
188.089899,157
188.18987,155
188.289855,152
188.389863,150
188.489854,148
188.589854,146
188.689871,145
188.789845,145
188.889873,144
188.98986,145
189.089868,145
189.189878,147
189.289903,149
189.389885,151
189.489875,153
189.589876,156
189.68988,159
189.793403,161
189.889881,164
189.989895,166
190.089864,168
190.189874,169
190.389867,170
190.489845,171
190.589898,170
190.689863,169
190.789875,167
190.889837,166
190.989864,163
191.08985,160
191.189834,158
191.289833,155
191.38984,153
191.489858,150
191.589845,147
191.693385,147
191.789862,145
191.889877,144
191.989837,143
192.089859,145
192.189842,146
192.289855,147
192.389862,148
192.48984,151
192.589867,154
192.689857,157
192.789844,160
192.889872,162
192.98986,165
193.089856,167
193.189867,169
193.289852,170
193.389846,171
193.489864,171
193.5904,171
193.689855,170
193.789868,168
193.88983,167
193.989856,164
194.089839,161
194.189836,158
194.289834,155
194.389855,153
194.489873,150
194.589846,147
194.689824,146
194.789824,144
194.889839,144
194.989839,144
195.089834,144
195.189857,146
195.28983,148
195.389838,150
195.493365,153
195.589855,155
195.689846,159
195.78986,161
195.889861,165
195.989848,167
